Concept Id,Name,Description,Synonyms,Answers,Set Members,Class,Datatype,Changed By,Creator
13,"UNKNOWN","Generic answer to a question.","Ne sait pas
Inconnu
Ntabizi
UNKNOWN","","","Misc","N/A","eHealth System Developer","eHealth System Developer"
14,"OTHER ANTIRETROVIRAL DRUG","Generic answer to encounter form questions.. another retroviral drug not already specified in the antiretroviral set (term 1085).","OTHER ANTIRETROVIRAL DRUG","","","Drug","N/A","eHealth System Developer","eHealth System Developer"
17,"STAVUDINE/LAMIVUDINE/NEVIRAPINE","Combination antiretroviral drug.","TRIOMUNE
TRIOMUNE-30
EMTRI
TRIOMUNE-40
STAVUDINE/LAMIVUDINE/NEVIRAPINE","","","Drug","N/A","Strategic Information","eHealth System Developer"
18,"KALETRA","Combination of two medications in a category of HIV antriretrovirals called protease inhibitors. Lopinavir and ritonavir prevent HIV from multiplying.","LOPINAVIR/RITONAVIR(LPVr)
KALETRA
ALLUVIA","50mg
200mg","","Drug","Coded","eHealth System Developer","eHealth System Developer"
23,"ZIDOVUDINE/LAMIVUDINE","Antiretroviral combination drug (Zidovudine & Lamivudine)","COMBIVIR
Double regimen
ZIDOVUDINE/LAMIVUDINE","300mg/150mg","","Drug","Coded","eHealth System Developer","eHealth System Developer"
25,"UNKNOWN ANTIRETROVIRAL DRUG","Generic answer to a question.  Patient knows that they are on an antiretroviral medicine, but does not know the name of it, and it hasn't been specified on the encounter form.","UNKNOWN ANTIRETROVIRAL DRUG","","","Drug","N/A","eHealth System Developer","eHealth System Developer"
27,"ANTIRETROVIRAL DRUGS","Set which contains all drugs used to treat HIV.","ANTIRETROVIRAL DRUGS
ARVS
HAART","","EMTRICITABINE
NEVIRAPINE
LAMIVUDINE
ZIDOVUDINE
ZIDOVUDINE/LAMIVUDINE
LAMIVUDINE/NEVIRAPINE/ZIDOVUDINE
EFAVIRENZ
TENOFOVIR
TENOFOVIR/LAMIVUDINE/EFAVIRENZ
TENOFOVIR/EMTRICITABINE
NELFINAVIR
INDINAVIR
SAQUINAVIR
KALETRA
RITONOVIR
INDINAVIR/RITONAVIR
SAQUINAVIR/RITONAVIR
ATAZANAVIR BOOSTED
ABACAVIR/LAMIVUDINE/NEVIRAPINE
ABACAVIR/LAMIVUDINE/EFAVIRENZ 
ABACAVIR/LAMIVUDINE/ZIDOVUDINE
NEVIRAPINE/TENOFOVIR/EMTRICITABINE
NEVIRAPINE/TENOFOVIR/LAMIVUDINE
EFAVIRENZ/TENOFOVIR/EMTRICITABINE
ABACAVIR/DIDANOSINE/KALETRA
ZIDOVUDINE/DIDANOSINE/KALETRA
LAMIVUDINE/DIDANOSINE/KALETRA
DIDANOSINE/EFAVIRENZ/KALETRA
KALETRA/TENOFOVIR/EMTRICITABINE
KALETRA/TENOFOVIR/LAMIVUDINE
KALETRA/ZIDOVUDINE/LAMIVUDINE
KALETRA/TENOFOVIR/ZIDOVUDINE/EMTRICITABINE
KALETRA/TENOFOVIR/ZIDOVUDINE/LAMIVUDINE
SAQUINAVIR/TENOFOVIR/EMTRICITABINE
SAQUINAVIR/TENOFOVIR/LAMIVUDINE
ABACAVIR
DIDANOSINE
TENOFOVIR/LAMIVUDINE
STAVUDINE/LAMIVUDINE/NEVIRAPINE
STAVUDINE
STAVUDINE/LAMIVUDINE
TENOFOVIR/LAMIVUDINE/ATAZANAVIR BOOSTED
ZIDOVUDINE/LAMIVUDINE/EFAVIRENZ","MedSet","N/A","","eHealth System Developer"
28,"None","Generic descriptive answer.","None
AUCUN","","","Misc","N/A","eHealth System Developer","eHealth System Developer"
29,"COMPLETED TOTAL PMTCT","Answer to question.  Implies that a person completed a course of total prevention of mother to child transmission therapy.","COMPLETED TOTAL PMTCT","","","Finding","N/A","eHealth System Developer","eHealth System Developer"
30,"WEIGHT CHANGE","Alteration in a patient's weight.  Could represent either a weight gain or loss.","WEIGHT CHANGE","","","Finding","N/A","eHealth System Developer","eHealth System Developer"
31,"REFUSAL OF TREATMENT BY PATIENT","Patient or client refusal of or resistance to medical, psychological, or psychiatric treatment. (APA, Thesaurus of Psychological Index Terms, 8th ed.)","Patient refused treatment
REFUSAL OF TREATMENT BY PATIENT
REFUS DE TRAITEMENT PAR LE PATIENT
rechazo del tratamiento por el paciente","","","Diagnosis","Boolean","eHealth System Developer","eHealth System Developer"
32,"planned treatment interruption","","planned treatment interruption
planned rx interruption","","","Misc","N/A","eHealth System Developer","eHealth System Developer"
33,"OTHER NON-CODED","A generic, descriptive answer which is a handwritten, non-coded response to a question.","OTHER NON-CODED
Autre et non cod?","","","Misc","N/A","eHealth System Developer","eHealth System Developer"
34,"STREPTOMYCIN INJECTION","","STREPTOMYCIN INJECTION
S","1g","","Drug","Coded","eHealth System Developer","eHealth System Developer"
35,"INH/B6","A crystalline antibacterial compound (C6H7N3O) used in the treatment of tuberculosis. ","ISONIAZID PROPHYLAXIS
Tubizid
Soniazio
INH
Nydrazid
INH/B6","50mg
300mg","","Drug","Coded","eHealth System Developer","eHealth System Developer"
36,"PYRAZINAMIDE ","Antituberculosis agent used to treat patients with active tuberculosis, usually in combination with other agents.","Z
PYRAZINAMIDE 
PZI","","","Drug","N/A","eHealth System Developer","eHealth System Developer"
37,"ETHAMBUTOL","Anti-mycobaterial drug used to treat active tuberculosis. Always used with other antimycobacterial agents.","E
ETHAMBUTOL
Myambutol","400mg","","Drug","Coded","eHealth System Developer","eHealth System Developer"
38,"RIFAMPICIN ISONIAZID AND PYRAZINAMIDE","Combination drug also known as Rifater.  Used in the early treatment of tuberculosis.","RIFAMPICIN ISONIAZID AND PYRAZINAMIDE
RIFATER
ISONIAZID / PYRAZINAMIDE / RIFAMPIN","","","Drug","N/A","eHealth System Developer","eHealth System Developer"
39,"RIFAMPICIN AND ISONIAZID","Combination drug also known as Rifinah. Used in the early treatment of tuberculosis.","RIFAMPICIN AND ISONIAZID
RIFINAH","","","Drug","N/A","eHealth System Developer","eHealth System Developer"
40,"RIFAMPICIN ISONIAZID PYRAZINAMIDE AND ETHAMBUTOL","Fixed-dose combination drug used to treat tuberculosis.  Also known as Rifafour.","RIFAMPICIN ISONIAZID PYRAZINAMIDE AND ETHAMBUTOL
RIFAFOUR","","","Drug","N/A","eHealth System Developer","eHealth System Developer"
41,"ETHAMBUTOL AND ISONIAZID","Combination drug used to treat tuberculosis, often used with other drugs.  It's also known as Ethizide.","ETHAMBUTOL / ISONIAZID
ETHAMBUTOL AND ISONIAZID
ETHIZIDE","","","Drug","N/A","eHealth System Developer","eHealth System Developer"
42,"TUBERCULOSIS TREATMENT STARTED","Part of the encounter form plan. Answers are drugs started at the end of the particular encounter.","TUBERCULOSIS TREATMENT STARTED","STREPTOMYCIN INJECTION
INH/B6
PYRAZINAMIDE 
ETHAMBUTOL
RIFAMPICIN ISONIAZID AND PYRAZINAMIDE
RIFAMPICIN AND ISONIAZID
RIFAMPICIN ISONIAZID PYRAZINAMIDE AND ETHAMBUTOL
ETHAMBUTOL AND ISONIAZID","","Question","Coded","eHealth System Developer","eHealth System Developer"
43,"CHANGE FORMULATION","Answer on encounter form.  Implies that a patient's current drugs will be changed to meet a new formulation.","CHANGE FORMULATION
CHANGEMENT DE FORMULATION","","","Misc Order","N/A","eHealth System Developer","eHealth System Developer"
44,"MEDICATION STOCK OUT","Answer to question about reason for non-treatment. Stock out includes no available medication.","MEDICATION STOCK OUT
stock out
M?DICAMENTS ?PUIS?S","","","Misc","Boolean","eHealth System Developer","eHealth System Developer"
45,"Inpatient care or Hospitalization","none","Illness or HOSPITALIZATION
Inpatient care or Hospitalization
PATIENT HOSPITALIS?","NO
YES","","Misc Order","Coded","eHealth System Developer","eHealth System Developer"
46,"TOXICITY, DRUG","Adverse reaction to a drug (oral, parenteral, topical).","intoxicaci?n por droga Y/O sustancia medicinal
DRUG POISONING
DRUG TOXICITY
TOXICITY, DRUG","","","Diagnosis","N/A","eHealth System Developer","eHealth System Developer"
47,"Pregnant","","Femme enceinte
currently pregnant
Pregnant
Ujauzito wa sasa","","","Finding","Boolean","eHealth System Developer","eHealth System Developer"
48,"CANNOT AFFORD TREATMENT","Patient unable to pay for treatment.","CANNOT AFFORD TREATMENT","","","Finding","N/A","eHealth System Developer","eHealth System Developer"
49,"TREATMENT NEVER STARTED - PATIENT REFUSED","","TREATMENT NEVER STARTED - PATIENT REFUSED","","","State","N/A","eHealth System Developer","eHealth System Developer"
50,"Poor adherence","Not following the prescribed course of therapy or not taking prescribed medicines.","Poor adherence with treatment or therapy
Poor adherence
Non-adherence with treatment or therapy","","","Finding","N/A","eHealth System Developer","eHealth System Developer"
51,"Treatment Failure","Failure of a therapy or treatment to achieve its end points.","Treatment Failure
?CHEC DU TRAITEMENT
REGIMEN FAILURE","","","Finding","N/A","eHealth System Developer","eHealth System Developer"
52,"REASON ANTIRETROVIRALS STOPPED","Question on encounter form.  Part of the plan gathers a reason for stopping ARVs.  This concept captures that information.","REASON ANTIRETROVIRALS STOPPED","Never went back
STIGMA
SIDE EFFECTS
PATIENT MOVED
FELL ASLEEP
FELT BETTER
Patient preference
Couldn't adhere to schedule 
Virology failure
Drugs not available
Ran out of medication
Immunologic failure
CLINICAL FAILURE
WEIGHT CHANGE
COMPLETED TOTAL PMTCT
planned treatment interruption
REFUSAL OF TREATMENT BY PATIENT
TUBERCULOSIS TREATMENT STARTED
OTHER NON-CODED
MEDICATION STOCK OUT
CHANGE FORMULATION
TOXICITY, DRUG
Inpatient care or Hospitalization
CANNOT AFFORD TREATMENT
Pregnant
TREATMENT NEVER STARTED - PATIENT REFUSED
UNKNOWN
Treatment Failure
Poor adherence","","Question","Coded","","eHealth System Developer"
53,"DECEASED","Patient died.","Mfiwa
D?C?D?
DECEASED","","","Diagnosis","N/A","eHealth System Developer","eHealth System Developer"
54,"CAPREOMYCIN","","Capastat
CAPREOMYCIN
CM","","","Drug","N/A","eHealth System Developer","eHealth System Developer"
55,"KANAMYCIN","Aminoglycoside used in drug-resistant TB treatment. (Short name from WHO)","KANAMYCIN
Kannasyn
KM
Kantrex","","","Drug","N/A","eHealth System Developer","eHealth System Developer"
56,"PYRIDOXINE","A crystalline phenolic alcohol C8H11NO3 of the vitamin B6 group found especially in cereals and convertible in the body into pyridoxal and pyridoxamine.","Vitamin B6
PYRIDOXINE
B6","","","Drug","N/A","eHealth System Developer","eHealth System Developer"
57,"Viomycin","A basic polypeptide antibiotic (trade name Viocin) administered intramuscularly (along with other drugs) in the treatment of tuberculosis ","Viomycin
Vi
Viocin","","","Drug","N/A","eHealth System Developer","eHealth System Developer"
58,"CIPROFLOXACIN","","Cipro XR
Cipro
CIPROFLOXACIN
CPX
Ciloxan
CIPROFLOXACINE
Proquin
Profloxacin
Cipro I.V.
Ciproflaxacin
CFX
Ciproxin","","","Drug","N/A","eHealth System Developer","eHealth System Developer"
59,"CLARITHROMYCIN","Reinforcement TB med with unclear efficacy. Clarithromycin is a macrolide antibiotic used to treat pharyngitis, tonsillitis, acute maxillary sinusitis, acute bacterial exacerbation of chronic bronchitis, pneumonia (especially atypical pneumonias associated with Chlamydia pneumoniae or TWAR), skin and skin structure infections, and, in HIV and AIDS patients to prevent, and to treat, disseminated Mycobacterium avium complex (MAC). In addition, it is sometimes used to treat Legionellosis. ","CLR
Biaxin XL
Klaricid Adult
Biaxin
CLARITHROMYCIN
Klaricid XL
Klaricid IV","","","Drug","N/A","eHealth System Developer","eHealth System Developer"
60,"TERIZIDONE","Terizidone is a combination of two cycloserine molecules. It is an anti-tuberculous drug used in treating multidrug-resistant TB. TERIZIDONE is considered effective in the treatment of TB and may also be useful for the treatment of urinary tract infections including those due to TB. It is recommended for the treatment of MDR-TB patients in both the intensive and continuation phases. Oral bacteriostatic second-line TB med.","TRD
TERIZIDONE","","","Drug","N/A","eHealth System Developer","eHealth System Developer"
61,"MOXIFLOXACIN","","MFX
MOXIFLOXACIN
Vigamox
MOXIFLOXACINE
Avelox I.V.
Avelox","","","Drug","N/A","eHealth System Developer","eHealth System Developer"
62,"LEVOFLOXACIN","","Levaquin
Iquix
LEVOFLOXACIN
Quixin
LFX
L?VOFLOXACINE","","","Drug","N/A","eHealth System Developer","eHealth System Developer"
63,"AMIKACIN","Injectable aminoglycoside used in drug-resistant TB treatment. Inhibits protein synthesis through disruption of ribosomal function. (Short name from WHO) ","Amikacin Sulfate Pediatric Novaplus
Amikin
AMK
AMIKACIN
Amikacin Sulfate Novaplus
Amikin Pediatric","","","Drug","N/A","eHealth System Developer","eHealth System Developer"
64,"PROTHIONAMIDE","Isonicotinic acid derivative used in drug-resistant TB treatment. (Short name Pto from WHO) ","PROTHIONAMIDE
Prothio","","","Drug","N/A","eHealth System Developer","eHealth System Developer"
65,"THIOACETAZONE","A thiosaemicarbazone that is used in association with other antimycobacterial agents in the initial and continuation phases of antituberculosis regimens","THIACETAZONE
THA
THIOACETAZONE
thiosemicarbazone","","","Drug","N/A","eHealth System Developer","eHealth System Developer"
66,"RIFABUTIN","Reinforcement TB med with unclear efficacy. Rifabutin is a bactericidal antibiotic drug primarily used in the treatment of tuberculosis.","RIFABUTIN
RFB
Mycobutin","","","Drug","N/A","eHealth System Developer","eHealth System Developer"
67,"P-AMINOSALICYLIC ACID","Anti-folate used in drug-resistant TB treatment. (Short name from WHO)","PAS
P-AMINOSALICYLIC ACID","","","Drug","N/A","eHealth System Developer","eHealth System Developer"
68,"OFLOXACIN","","Floxin
Floxin Otic
OFLOXACINE
OFLOXACIN
Ocuflox
Floxin I.V.
OFX","","","Drug","N/A","eHealth System Developer","eHealth System Developer"
69,"GATIFLOXACIN","Fluoroquinolone used in drug-resistant TB treatment. (Short name from WHO)","GATIFLOXACIN
Zymar
GFX
Tequin Teqpaq
Tequin","","","Drug","N/A","eHealth System Developer","eHealth System Developer"
70,"CLOFAZIMINE","Phenazine derivative used in drug-resistant TB treatment. (Short name from WHO) ","CFZ
Lamprene
CLOFAZIMINE","","","Drug","N/A","eHealth System Developer","eHealth System Developer"
71,"CYCLOSERINE","D-Alanine analog used in drug-resistant TB treatment. (Short name from WHO) ","CYCLOSERINE
Seromycin
CS","","","Drug","N/A","eHealth System Developer","eHealth System Developer"
72,"ETHIONAMIDE","Isonicotinic acid derivative used in drug-resistant TB treatment. (Short name from WHO)","Trecator-SC
ETHIONAMIDE
Trecator
Ethio","","","Drug","N/A","eHealth System Developer","eHealth System Developer"
73,"resistant to anti-tuberculosis drugs","Result of the sensitivity testing.","resistant to anti-tuberculosis drugs
R
Resistant to tuberculosis medications","STREPTOMYCIN INJECTION
INH/B6
CAPREOMYCIN
KANAMYCIN
Viomycin
RIFAMPICIN
ETHAMBUTOL
PYRIDOXINE
TERIZIDONE
MOXIFLOXACIN
CIPROFLOXACIN
CLARITHROMYCIN
PROTHIONAMIDE
THIOACETAZONE
LEVOFLOXACIN
AMIKACIN
P-AMINOSALICYLIC ACID
RIFABUTIN
OTHER NON-CODED
PYRAZINAMIDE 
CYCLOSERINE
CLOFAZIMINE
GATIFLOXACIN
OFLOXACIN
ETHIONAMIDE
AMOXICILLIN AND CLAVULANIC ACID","","Finding","Coded","eHealth System Developer","eHealth System Developer"
74,"Drug-Drug Interaction (Properly Prescribed and Administered)","","Drug-Drug Interaction (Properly Prescribed and Administered)
interacci?n medicamentosa","","","Diagnosis","N/A","eHealth System Developer","eHealth System Developer"
75,"continuation phase, tuberculosis treatment","","continuation phase, tuberculosis treatment","","","Misc","N/A","eHealth System Developer","eHealth System Developer"
76,"COMPLETED","Generic answer to a question.","DONE
COMPLETED","","","Finding","N/A","eHealth System Developer","eHealth System Developer"
77,"Treatment extended","Reason for a change in anti-TB regimen","Treatment extended","","","Misc","N/A","eHealth System Developer","eHealth System Developer"
78,"Reason tuberculosis treatment stopped","Question on encounter form. Part of the plan gathers a reason for stopping TB drugs. This concept captures that information.","Reason tuberculosis treatment stopped
RAISON POUR ARR?T DU TRAITEMENT ANTI TUBERCULEUX","Treatment Failure
UNKNOWN
Treatment extended
Drug-Drug Interaction (Properly Prescribed and Administered)
continuation phase, tuberculosis treatment
COMPLETED
TOXICITY, DRUG
OTHER NON-CODED
WEIGHT CHANGE
CHANGE FORMULATION
resistant to anti-tuberculosis drugs
MEDICATION STOCK OUT
DECEASED","","Question","Coded","","eHealth System Developer"
79,"TRANSFERRED","","TRANSFERRED
TRANSFERT","","","Finding","Boolean","eHealth System Developer","eHealth System Developer"
80,"YES","Generic answer to a question.","Oui
YES
??
Yego","","","Misc","N/A","eHealth System Developer","eHealth System Developer"
81,"NO","Generic answer to a question.","Non
NO
Muzima
FALSE
???????","","","Misc","N/A","eHealth System Developer","eHealth System Developer"
82,"PATIENT CURRENTLY INPATIENT AT FACILITY","The patient is currently being cared for at clinic or facility. Answer to question ""Did person visit hospital or health clinic since last visit?""","PATIENT CURRENTLY INPATIENT AT FACILITY
IENT ACTUELLEMENT HOSPITALISE DANS UN ETABLISSEMENT
Patient hospitalized
??? ?? ?? ??? ??? ???","UNKNOWN
YES
NO","","Question","Coded","eHealth System Developer","eHealth System Developer"
83,"Mycobacterium Tuberculosis, extrapulmonary","Mycobacterium Tuberculosis (Disseminated Or Extrapulmonary)","EPTB (extrapulmonary tuberculosis)
Extrapulmonary TB
Mycobacterium Tuberculosis, extrapulmonary
TUBERCULOSE EXTRA-PULMONAIRE","","","Diagnosis","N/A","eHealth System Developer","eHealth System Developer"
84,"SYSTOLIC BLOOD PRESSURE","A patient's systolic blood pressure measurement (taken with a manual cuff in either a sitting or standing position)","PRESSION SYSTOLIQUE
SBP
TENSION ART?RIELLE SYSTOLIQUE
SYSTOLIC BLOOD PRESSURE
SYSTOLIC","","","Test","Numeric","eHealth System Developer","eHealth System Developer"
85,"WEIGHT (KG)","Patient's weight in kilograms.","Uzito katika kilogram
WEIGHT (KG)
uzito
Ibiro (Kg)
peso (kg)
???? ? ?????
WT
POIDS (KG)","","","Test","Numeric","eHealth System Developer","eHealth System Developer"
86,"RETURN VISIT DATE","Patient is to return on this date","Date prochaine visite
RETURN VISIT DATE","","","Misc","Date","eHealth System Developer","eHealth System Developer"
87,"RESPIRATORY RATE","Measured respiratory rate in breaths per minute","Rythme respiratoire
RESPIRATORY RATE
TAUX RESPIRATOIRE
RR","","","Finding","Numeric","eHealth System Developer","eHealth System Developer"
88,"CD4 COUNT","Measure of CD4 (T-helper cells) in blood","Num?ration des lymphocytes CD4
CD3+CD4+ABS CNT
CD4
CD4 COUNT","","","Test","Numeric","eHealth System Developer","eHealth System Developer"
89,"TUBERCULOSIS","Any of the infectious diseases of man and other animals caused by species of MYCOBACTERIUM.","ugonjwa wa kichocho
tuberculosis
TUBERCULOSE
TUBERCULOSIS","UNKNOWN
YES
NO","","Diagnosis","Coded","eHealth System Developer","eHealth System Developer"
90,"Specimen Unsatisfactory for Diagnosis","","esp?cimen insatisfactorio para el diagn?stico
Specimen Unsatisfactory for Diagnosis
esp?cimen inadecuado para diagn?stico","","","Diagnosis","N/A","","eHealth System Developer"
91,"Mycobacterial Infection (Excluding Tuberculosis and Leprosy)","","infecci?n micobacteriana (excluidas tuberculosis Y lepra)
Mycobacterial Infection (Excluding Tuberculosis and Leprosy)","","","Diagnosis","N/A","","eHealth System Developer"
92,"multi-drug resistant tuberculosis infection","","multi-drug resistant tuberculosis infection
TUBERCULOSE MULTI-R?SISTANTE
multidrug-resistant tb
multidrug-resistant tuberculosis
MDR-TB (multi-drug resistant tuberculosis)","","","Diagnosis","N/A","","eHealth System Developer"
93,"extremely drug-resistant tuberculosis infection","","extremely drug-resistant tuberculosis
XDR-TB (extremely drug-resistant tuberculosis)
TB-UR
TUBERCULOSE ULTRA-R?SISTANTE
extremely drug-resistant tuberculosis infection","","","Diagnosis","N/A","","eHealth System Developer"
94,"Clinical impression comment","Free text for non-coded clinical impressions.","IMPRESSIONS REMARQUES
Clinical impression
Clinical impression comment","","","Finding","Text","eHealth System Developer","eHealth System Developer"
95,"INDETERMINATE","Descriptive term: not precisely defined, determinable, or established.","INDETERMINATE
IND?TERMIN?","","","Misc","N/A","eHealth System Developer","eHealth System Developer"
96,"Result of HIV test","HIV test result by unspecified PCR or rapid test","Result of HIV test","POSITIVE
NEGATIVE
INDETERMINATE","","Finding","Coded","","eHealth System Developer"
97,"contact phone number","Telephone number to contact person.","contact phone number","","","Question","Text","eHealth System Developer","eHealth System Developer"
98,"cure, outcome","treatment of the disease successfully terminated the problem. Can be generalized to all the diseases as a outcome of the treatment.","cure
cure, outcome
cured","","","Diagnosis","N/A","eHealth System Developer","eHealth System Developer"
99,"Specimen collection date","The date and time a specimen was collected from the patient.","specimen date
Specimen collection date","","","Misc","Date","eHealth System Developer","eHealth System Developer"
100,"colonies","Bacterial colonies grown in the culture media","colonies","","","Finding","N/A","eHealth System Developer","eHealth System Developer"
101,"BACTEC Mgit culture method","","BACTEC Mgit culture method
mgit","","","Misc","N/A","eHealth System Developer","eHealth System Developer"
102,"Ogawa mycobacteria culture method","One method for culturing mycobacteria (TB)","Ogawa mycobacteria culture method","","","Misc","N/A","eHealth System Developer","eHealth System Developer"
103,"Lowenstein-Jensen mycobacteria culture method","","Lowenstein-Jensen mycobacteria culture method
L-J culture method","","","Misc","N/A","eHealth System Developer","eHealth System Developer"
104,"Mycobacterium culture method","","TB culture method
Mycobacterium culture method","Ogawa mycobacteria culture method
BACTEC Mgit culture method
Lowenstein-Jensen mycobacteria culture method","","Misc","Coded","eHealth System Developer","eHealth System Developer"
105,"microdilution DST method","A DST method for tuberculosis","microdilution DST method
proportions DST method","","","Misc","N/A","eHealth System Developer","eHealth System Developer"
106,"Microscopic observation drug susceptibility","A DST method for tuberculosis","MODS
Microscopic observation drug susceptibility","","","Misc","N/A","eHealth System Developer","eHealth System Developer"
107,"BACTEC DST","A tuberculosis DST test method","BACTEC DST","","","Misc","N/A","eHealth System Developer","eHealth System Developer"
108,"Agar plate method","A DST method for tuberculosis.","Agar plate method","","","Misc","N/A","eHealth System Developer","eHealth System Developer"
109,"GRIESS","A DST test method","GRIESS","","","Misc","N/A","eHealth System Developer","eHealth System Developer"
110,"drug sensitivity test methods, tuberculosis","A concept set of methods used to preform a TB DST ","drug sensitivity test methods, tuberculosis","Microscopic observation drug susceptibility
Lowenstein-Jensen mycobacteria culture method
Agar plate method
BACTEC DST
microdilution DST method
GRIESS
Ogawa mycobacteria culture method","","ConvSet","Coded","eHealth System Developer","eHealth System Developer"
111,"colonies in control","colonies in control test for tuberculosis culture","colonies in control","","","Finding","Text","eHealth System Developer","eHealth System Developer"
112,"intermediate resistance to anti-tubercular drugs","Intermediate resistant to anti-tubercular drugs. Result of the sensitivity testing.","Intermediate resistance to tuberculosis medication
intermediate resistance to anti-tubercular drugs
I","ETHAMBUTOL
AMOXICILLIN AND CLAVULANIC ACID
PYRIDOXINE
GATIFLOXACIN
RIFABUTIN
AMIKACIN
P-AMINOSALICYLIC ACID
CLOFAZIMINE
PROTHIONAMIDE
INH/B6
OTHER NON-CODED
THIOACETAZONE
CIPROFLOXACIN
STREPTOMYCIN INJECTION
Viomycin
TERIZIDONE
PYRAZINAMIDE 
LEVOFLOXACIN
MOXIFLOXACIN
OFLOXACIN
ETHIONAMIDE
CLARITHROMYCIN
RIFAMPICIN
KANAMYCIN
CAPREOMYCIN
CYCLOSERINE","","Finding","Coded","eHealth System Developer","eHealth System Developer"
113,"susceptible to anti-tuberculosis drugs","Result of the sensitivity testing.","S
susceptible to anti-tuberculosis drugs","Viomycin
OTHER NON-CODED
CIPROFLOXACIN
RIFAMPICIN
AMOXICILLIN AND CLAVULANIC ACID
AMIKACIN
P-AMINOSALICYLIC ACID
STREPTOMYCIN INJECTION
ETHIONAMIDE
RIFABUTIN
INH/B6
OFLOXACIN
CLOFAZIMINE
THIOACETAZONE
MOXIFLOXACIN
KANAMYCIN
CAPREOMYCIN
GATIFLOXACIN
ETHAMBUTOL
CYCLOSERINE
PROTHIONAMIDE
CLARITHROMYCIN
PYRAZINAMIDE 
TERIZIDONE
LEVOFLOXACIN
PYRIDOXINE","","Finding","Coded","eHealth System Developer","eHealth System Developer"
114,"Cerebral Abscess","A circumscribed collection of purulent exudate in the brain, due to bacterial and other infections. The majority are caused by spread of infected material from a focus of suppuration elsewhere in the body, notably the PARANASAL SINUSES, middle ear (see EAR, MIDDLE), HEART (see also ENDOCARDITIS, BACTERIAL), and LUNG. Penetrating CRANIOCEREBRAL TRAUMA and NEUROSURGICAL PROCEDURES may also be associated with this condition. Clinical manifestations include HEADACHE, SEIZURES, focal neurologic deficits, and alterations of consciousness. (Adams et al., Principles of Neurology, 6th ed, pp712-6)","absceso cerebral
Cerebral Abscess","","","Diagnosis","N/A","eHealth System Developer","eHealth System Developer"
